ABHD6
ADORA1
AGT
ANAPC2
APOE
ARC
ARF1
ATP2B2
BAIAP2
BCAN
BRAF
CALB1
CAMK2A
CAMK2B
CD38
CDC20
CDK5
CNTN2
CNTN4
CPEB3
CPLX2
CREB1
CRH
CRHR2
CRTC1
CX3CR1
DBN1
DGKI
DLG4
DRD1
DRD2
DRD5
EGR2
EIF2AK4
EIF4EBP2
EPHB2
FGF14
FMR1
GFAP
GIP
GIPC1
GRIA1
GRID2IP
GRIK2
GRIN1
GRIN2A
GRM5
GSK3B
HNRNPK
HRAS
HRH1
HRH2
ITPKA
ITPR3
JPH3
JPH4
KCNB1
KCNJ10
KIT
KRAS
LRRTM1
LRRTM2
LZTS1
MAPK1
MECP2
MEF2C
MLL
NCAM1
NCDN
NELF
NETO1
NEURL
NEUROD2
NF1
NFATC4
NLGN1
NLGN3
NOS1
NPTN
NR2E1
NRGN
NTRK2
P2RX3
PAIP2
PICK1
PLK2
PPFIA3
PPP1R9A
PPP3CB
PRKCZ
PSEN1
PTEN
PTGS2
PTK2B
PTN
PTPN5
RAB11A
RAB3A
RAB3GAP1
RAB8A
RAPGEF2
RARA
RASGRF1
RELN
RGS14
RIMS1
RIN1
S100B
SERPINE2
SHANK2
SHANK3
SHISA6
SHISA7
SHISA8
SHISA9
SIPA1L1
SLC24A2
SLC8A2
SLC8A3
SNAP25
SNAP47
SNCA
SORCS3
SRF
STAR
STAU1
STX3
STX4
STXBP1
SYNGAP1
SYNGR1
SYP
SYT12
TNR
UNC13A
UNC13B
VAMP2
VGF
YWHAG
YWHAH
